site,species,subject_site,age,cup_distance,task_experience,board_size,test_situation,session,block,trial,delay,hiding_location,pick,correct,researcher,life_expectancy,norm_age
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,2,1,12,long,1,1,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,2,2,13,medium,3,1,0,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,2,2,14,medium,2,1,0,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,2,2,15,medium,2,1,0,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,2,3,16,short,1,1,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,2,3,17,short,1,1,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,2,3,18,short,3,3,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,3,1,19,medium,1,1,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,3,1,20,medium,2,1,0,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,3,1,21,medium,2,2,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,3,2,22,long,3,3,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,3,2,23,long,3,2,0,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,3,2,24,long,1,2,0,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,3,3,25,short,1,1,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,3,3,26,short,1,1,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,3,3,27,short,2,2,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,4,1,28,short,3,3,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,4,1,29,short,2,2,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,4,1,30,short,1,1,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,4,2,31,long,2,3,0,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,4,2,32,long,2,2,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,4,2,33,long,3,3,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,4,3,34,medium,3,3,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,4,3,35,medium,3,3,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,heidi_dpz,17.1,10,yes,60,single,4,3,36,medium,1,1,1,julia,39,0.6596021945467908
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,1,1,1,medium,1,3,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,1,1,2,medium,3,3,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,1,1,3,medium,3,3,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,1,2,4,short,1,3,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,1,2,5,short,2,2,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,1,2,6,short,3,1,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,1,3,7,long,2,3,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,1,3,8,long,2,1,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,1,3,9,long,1,1,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,2,1,10,medium,3,1,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,2,1,11,medium,2,1,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,2,1,12,medium,1,2,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,2,2,13,long,2,3,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,2,2,14,long,2,1,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,2,2,15,long,1,1,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,2,3,16,short,3,3,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,2,3,17,short,1,2,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,2,3,18,short,2,2,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,3,1,19,long,2,1,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,3,1,20,long,3,2,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,3,1,21,long,3,1,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,3,2,22,medium,1,1,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,3,2,23,medium,1,1,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,3,2,24,medium,3,3,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,3,3,25,short,3,3,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,3,3,26,short,1,1,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,3,3,27,short,3,3,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,4,1,28,long,2,2,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,4,1,29,long,3,1,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,4,1,30,long,1,3,0,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,4,2,31,short,2,2,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,4,2,32,short,2,2,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,4,2,33,short,1,1,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,4,3,34,medium,1,1,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,4,3,35,medium,2,2,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,flocke_dpz,19.2,10,yes,60,single,4,3,36,medium,3,3,1,julia,39,0.956544371231224
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,1,1,1,short,2,2,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,1,1,2,short,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,1,1,3,short,3,3,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,1,2,4,medium,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,1,2,5,medium,2,2,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,1,2,6,medium,3,2,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,1,3,7,long,3,2,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,1,3,8,long,2,2,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,1,3,9,long,3,3,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,2,1,10,medium,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,2,1,11,medium,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,2,1,12,medium,2,1,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,2,2,13,long,2,1,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,2,2,14,long,3,1,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,2,2,15,long,2,1,0,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,2,3,16,short,3,3,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,2,3,17,short,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,2,3,18,short,1,1,1,julia,39,0.8151433347148273
DPZ,long_tailed_macaque,penny_dpz,18.2,10,yes,60,single,3,1,19,short,3,3,1,julia,39,0.8151433347148273
