site,species,subject_site,age,cup_distance,task_experience,board_size,test_situation,session,block,trial,condition,hiding_location,pick,correct,researcher,life_expectancy,norm_age
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,2,1,11,long,2,3,0,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,2,1,12,long,3,3,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,2,2,13,medium,3,3,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,2,2,14,medium,1,3,0,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,2,2,15,medium,2,3,0,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,2,3,16,short,2,2,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,2,3,17,short,1,1,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,2,3,18,short,3,3,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,3,1,19,short,3,2,0,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,3,1,20,short,1,1,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,3,1,21,short,2,2,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,3,2,22,medium,1,1,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,3,2,23,medium,2,2,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,3,2,24,medium,3,3,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,3,3,25,long,2,2,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,3,3,26,long,3,2,0,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,3,3,27,long,1,3,0,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,4,1,28,short,1,1,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,4,1,29,short,2,2,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,4,1,30,short,3,3,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,4,2,31,long,2,2,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,4,2,32,long,1,1,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,4,2,33,long,3,3,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,4,3,34,medium,2,2,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,4,3,35,medium,3,3,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,junon_edi,17,11,yes,60,single,4,3,36,medium,1,1,1,voelter,46,0.27977041273142705
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,1,1,1,long,3,2,0,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,1,1,2,long,2,2,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,1,1,3,long,1,1,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,1,2,4,short,2,2,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,1,2,5,short,3,3,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,1,2,6,short,1,1,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,1,3,7,medium,3,2,0,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,1,3,8,medium,1,1,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,1,3,9,medium,2,2,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,2,1,10,medium,1,1,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,2,1,11,medium,2,2,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,2,1,12,medium,3,3,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,2,2,13,short,1,1,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,2,2,14,short,2,2,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,2,2,15,short,3,3,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,2,3,16,long,3,2,0,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,2,3,17,long,2,3,0,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,2,3,18,long,1,1,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,3,1,19,short,3,2,0,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,3,1,20,short,2,3,0,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,3,1,21,short,1,1,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,3,2,22,medium,1,1,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,3,2,23,medium,3,3,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,3,2,24,medium,2,2,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,3,3,25,long,2,2,1,voelter,46,-0.43956885661058764
edinburgh,brown_capuchin_monkey,carlos_edi,11,11,yes,60,single,3,3,26,long,3,3,1,voelter,46,-0.43956885661058764
